Time [s],X [g],Y [g],Z [g]
1849.1782538,0.0315522,0.01199421,1.147352
1849.179459,0.02775982,0.01300417,1.158692
1849.1806643,0.02182566,0.01162273,1.162568
1849.1818695,0.02384588,0.007355398,1.155533
1849.1830748,0.01750164,0.01528617,1.160483
1849.1842801,0.0170937,0.006561267,1.161182
1849.1854853,0.016022,0.0004183291,1.157226
1849.1866906,0.01180796,-0.004707962,1.147979
1849.1878958,0.01623254,-0.006821799,1.147896
1849.1891011,0.01185568,-0.01487724,1.139217
1849.1903063,0.01432677,-0.01971233,1.133316
1849.1915116,0.0121216,-0.02036816,1.129395
1849.1927168,0.005984679,-0.03133497,1.132274
1849.1939221,0.002607733,-0.034167,1.130494
1849.1951273,0.00106284,-0.04765173,1.134647
1849.1963326,-0.004826903,-0.04805183,1.126612
1849.1975378,-0.004662797,-0.0544914,1.12899
1849.1987431,-0.003235832,-0.05905915,1.120463
1849.1999483,-0.006480232,-0.06398525,1.123176
1849.2011536,-0.005468294,-0.07170337,1.123556
1849.2023589,-0.0006056875,-0.07568704,1.1216
1849.2035641,0.005321383,-0.07212573,1.117896
1849.2047694,0.005263403,-0.07354154,1.118678
1849.2059746,0.009365648,-0.0752807,1.117271
1849.2071799,0.01263605,-0.07254212,1.118524
1849.2083851,0.02023828,-0.07662527,1.11666
1849.2095904,0.01372808,-0.07125038,1.124494
1849.2107956,0.01992315,-0.06817309,1.132303
1849.2120009,0.02215436,-0.06276023,1.136587
1849.2132061,0.0283393,-0.06352609,1.148296
1849.2144114,0.02716023,-0.06261139,1.152705
1849.2156166,0.02096008,-0.06154982,1.161556
1849.2168219,0.02384003,-0.06107182,1.171109
1849.2180272,0.01618442,-0.06412195,1.177147
1849.2192324,0.004960164,-0.05709559,1.195233
1849.2204377,-0.001622751,-0.05248014,1.201451
1849.2216429,-0.01116815,-0.0510381,1.212027
1849.2228482,-0.01107298,-0.05136645,1.222089
1849.2240534,-0.009145305,-0.04656309,1.234987
1849.2252587,-0.004178166,-0.0520146,1.254549
1849.2264639,0.001703471,-0.04695917,1.259993
1849.2276692,0.006943613,-0.05106259,1.269999
1849.2288744,0.009317756,-0.05122217,1.286082
1849.2300797,0.01712242,-0.05260037,1.300696
1849.2312849,0.01831418,-0.04866349,1.310233
1849.2324902,0.0246965,-0.04927336,1.324943
1849.2336954,0.02336976,-0.04336763,1.336697
1849.2349007,0.02868517,-0.05160737,1.345847
1849.236106,0.02363992,-0.04753232,1.356088
1849.2373112,0.02408203,-0.04958308,1.377031
1849.2385165,0.01781893,-0.04487265,1.387612
1849.2397217,0.01833409,-0.04326625,1.401309
1849.240927,0.01847765,-0.03112674,1.407541
1849.2421322,0.0148004,-0.03824215,1.414552
